"token","en-US","fr-FR","ja-JP","comment"
"klb_order_cart_total_taxes","Total taxes",,,"KlbOrder Component"
"klb_order_cart_total_products","Total products",,,"KlbOrder Component"
"klb_order_cart_is_empty","Your cart is empty.",,,"KlbOrder Component"
"klb_order_cart_is_empty_back_cta","Back",,,"KlbOrder Component"
"klb_order_cart_vat","Taxes",,,"KlbOrder Component"
"klb_order_tv_included","includes {{val}} tax",,,"KlbOrder Component"
"klb_order_billing_location","Billing location",,,"KlbOrder Component"
"klb_order_cta_next","Next",,,"KlbOrder Component"
"klb_location_firstname_placeholder","Firstname",,,"KlbUserLocation component"
"klb_location_firstname_label","Firstname",,,"KlbUserLocation component"
"klb_location_lastname_placeholder","Lastname",,,"KlbUserLocation component"
"klb_location_lastname_label","Lastname",,,"KlbUserLocation component"
"klb_location_zip_placeholder","Zipcode",,,"KlbUserLocation component"
"klb_location_zip_label","Zipcode",,,"KlbUserLocation component"
"klb_location_country_label","Country",,,"KlbUserLocation component"
"klb_locations_save_cta","Save",,,"KlbUserLocation component"
"klb_edit_location","Edit",,,"KlbUserLocation component"
"klb_delete_location","Delete",,,"KlbUserLocation component"
"klb_locations_reset_cta","Cancel",,,"KlbUserLocation component"
"klb_order_process","Payment",,,"KlbOrder component"
"klb_order_process_cta","Process Order",,,"KlbUserLocation component"
"klb_order_payment_card_label","Credit card",,,"KlbUserLocation component"
"klb_order_paid_text","This order was succesfully paid ({{date}})",,,"KlbUserLocation component"
"klb_order_option_on_file","Use one of your saved billing method",,,"KlbUserLocation component"
"klb_order_option_stripe","Add a new credit card",,,"KlbUserLocation component"


